Audio File,Clip length(hh:mm:ss),Audio File Size (in MB),Audio Format,Annotation File,Source Video Title,Web Link of the video
UKIERI_HINDI_AUDIO_026.wav,00:17:18,87.3,wav,UKIERI_HINDI_AUDIO_026.TextGrid,"Delhi Yogi Adityanath (BJP) Rally at Okhla 30-01-2015 [HD, 720p]",https://www.youtube.com/watch?v=3Bq88eeWu_A
UKIERI_HINDI_AUDIO_027.wav,00:17:36,88.8,wav,UKIERI_HINDI_AUDIO_027.TextGrid,"Muslim leaders oppose Yoga, say Suryanamaskar against the basic teaching of Islam [Low, 360p]",https://www.youtube.com/watch?v=WgykL1EI3m4
UKIERI_HINDI_AUDIO_028.wav,00:53:38,270,wav,UKIERI_HINDI_AUDIO_028.TextGrid,"Nagpur  Asaduddin Owaisi uncut speech [Low, 360p]",https://www.youtube.com/watch?v=fo74OTnnfnI 
UKIERI_HINDI_AUDIO_029.wav,01:03:37,321,wav,UKIERI_HINDI_AUDIO_029.TextGrid,"Raj Thackeray in Aap Ki Adalat (Full Episode) - India TV [Low, 360p]",https://www.youtube.com/watch?v=YacVATFN9WQ
UKIERI_HINDI_AUDIO_030.wav,00:15:56,80.4,wav,UKIERI_HINDI_AUDIO_030.TextGrid,"Seedhi Baat - Seedhi Baat BJP leader Yogi Adityanath [Low, 360p]",https://www.youtube.com/watch?v=2PPyZRI5vxQ
UKIERI_HINDI_AUDIO_031.wav,00:23:10,116,wav,UKIERI_HINDI_AUDIO_031.TextGrid,"Shri Yogi Adityanath on the need for more effective mechanism to deal with communal violence [Low, 360p]",https://www.youtube.com/watch?v=X3xtRmWDLOU
UKIERI_HINDI_AUDIO_032.wav,00:02:34,12.9,wav,UKIERI_HINDI_AUDIO_032.TextGrid,"VERY VERY ANGRY ! ! ! Narendra Modis TIGHT SLAP ! ! ! on ABP NEWS Face [Low, 360p]",https://www.youtube.com/watch?v=MphSK_fwTyY&feature=em-hot-b-vrecs
UKIERI_HINDI_AUDIO_033.wav,00:58:29,295,wav,UKIERI_HINDI_AUDIO_033.TextGrid,"Yasin Malik in Aap Ki Adalat (Full Episode) [Low, 360p]",https://www.youtube.com/watch?v=7yKbEgx6JVM
UKIERI_HINDI_AUDIO_034.wav,00:54:50,276,wav,UKIERI_HINDI_AUDIO_034.TextGrid,"Yogi Adityanath in Aap Ki Adalat 30.08.14 [Low, 360p]",https://www.youtube.com/watch?v=eKZheFA8Zis
UKIERI_HINDI_AUDIO_035.wav,00:29:31,148,wav,UKIERI_HINDI_AUDIO_035.TextGrid,"29-5-2015 Asad uddin owaisi Ndtv [Low, 360p]",https://drive.google.com/file/d/1pRNyBEMRJbXxmODabJkRx6-rVMNxHHNH/view?usp=sharing
UKIERI_HINDI_AUDIO_036.wav,00:50:56,142,wav,UKIERI_HINDI_AUDIO_036.TextGrid,"KANHAIYA KUMARs Full Speech in Mumbai on April 23, 2016 [Low, 360p]",https://www.youtube.com/watch?v=VRw9PBEuDOU
UKIERI_HINDI_AUDIO_037.wav,00:14:22,72.5,wav,UKIERI_HINDI_AUDIO_037.TextGrid,Gopal Rai Aggressive Speech at Azadpur Mandi on 17th Nov' 20,https://www.youtube.com/watch?v=zNS0Dw8V4Tc
UKIERI_HINDI_AUDIO_038.wav,00:22:47,114,wav,UKIERI_HINDI_AUDIO_038.TextGrid,"Is the government hiding information about caste based census [Low, 360p]",https://www.youtube.com/watch?v=kvrZmgYCsCI
UKIERI_HINDI_AUDIO_039.wav,00:13:18,67.1,wav,UKIERI_HINDI_AUDIO_039.TextGrid,JNUSU President Kanhaiya Kumar's Incredible Speech at Incept,https://drive.google.com/file/d/1e31t2BOgFDzvE12vza5UrgnqwNODf4MD/view?usp=sharing
UKIERI_HINDI_AUDIO_040.wav,00:59:40,301,wav,UKIERI_HINDI_AUDIO_040.TextGrid,Made a mistake by supporting Modi l Raj Thackeray answers in,https://www.youtube.com/watch?v=8B1R7KjZJ58
UKIERI_HINDI_AUDIO_041.wav,00:19:10,399,wav,UKIERI_HINDI_AUDIO_041.TextGrid,"MAJHA KATTA  Asaduddin Owaisi uncut [Low, 360p]",https://drive.google.com/file/d/1IZrZA790TrM4UQU-Tbr1JHMsvh_4ghOV/view?usp=sharing
UKIERI_HINDI_AUDIO_042.wav,00:35:18,178,wav,UKIERI_HINDI_AUDIO_042.TextGrid,PM Narendra Modi Agressive Speech Land Bill Parliament Sessi,https://drive.google.com/file/d/1Sme2dTZ9xQwQm863Wq4qmCKHlzSknku4/view?usp=sharing
UKIERI_HINDI_AUDIO_043.wav,00:38:14,192,wav,UKIERI_HINDI_AUDIO_043.TextGrid,Sabse Bada Sawal क्या Aamir Khan को देशद्रोही कहने वाले सहनश,https://drive.google.com/file/d/1avGqOL9Jt5ipdBUvsCHvSb6F5wvwKhmD/view?usp=sharing
UKIERI_HINDI_AUDIO_044.wav,00:36:26,183,wav,UKIERI_HINDI_AUDIO_044.TextGrid,"Sabse Bada Sawal  क्‍या RSS के हिसाब से तय होगी देश की जनसंख्‍या  [Low, 360p]",https://www.youtube.com/watch?v=im0CjnsIXJ8
UKIERI_HINDI_AUDIO_045.wav,00:24:49,125,wav,UKIERI_HINDI_AUDIO_045.TextGrid,"Should the BJP not pass off Aamir Khans statements as his personal views [Low, 360p]",https://www.youtube.com/watch?v=FaSiUthumWo
UKIERI_HINDI_AUDIO_046.wav,00:17:52,90.1,wav,UKIERI_HINDI_AUDIO_046.TextGrid,"Time the government addressed the concerns of artists, writers and scientists",https://www.youtube.com/watch?v=CwlndHKHQqs
UKIERI_HINDI_AUDIO_047.wav,01:04:24,325,wav,UKIERI_HINDI_AUDIO_047.TextGrid,Tonight With Deepak Chaurasia BJP takes on 'Afzal Guru leagu,https://www.youtube.com/watch?v=N971zEq_16I
